"Site","Name","Last Logon","OperatingSystem","DistinguishedName"
"DO","DO-CW2-08","5/31/2017 1:11:54 PM","Windows 7 Enterprise","CN=DO-CW2-08,OU=IS Cart,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-CW2-09","8/7/2017 8:15:17 AM","Windows 7 Enterprise","CN=DO-CW2-09,OU=IS Cart,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-CW2-10","8/7/2017 8:07:32 AM","Windows 7 Enterprise","CN=DO-CW2-10,OU=IS Cart,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-CW2-14","5/19/2017 11:32:52 AM","Windows 7 Enterprise","CN=DO-CW2-14,OU=IS Cart,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-CW2-16","3/3/2017 1:29:31 PM","Windows 7 Enterprise","CN=DO-CW2-16,OU=IS Cart,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-CW2-17","5/19/2017 11:28:49 AM","Windows 7 Enterprise","CN=DO-CW2-17,OU=IS Cart,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-CW2-19","5/31/2017 8:41:36 AM","Windows 7 Enterprise","CN=DO-CW2-19,OU=IS Cart,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-CW2-20","8/8/2017 8:02:31 AM","Windows 7 Enterprise","CN=DO-CW2-20,OU=IS Cart,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-CW2-21","5/31/2017 1:08:24 PM","Windows 7 Enterprise","CN=DO-CW2-21,OU=IS Cart,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-CW2-22","5/19/2017 11:29:27 AM","Windows 7 Enterprise","CN=DO-CW2-22,OU=IS Cart,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-CW2-23","5/19/2017 11:43:10 AM","Windows 7 Enterprise","CN=DO-CW2-23,OU=IS Cart,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-CW2-24","5/31/2017 11:35:40 AM","Windows 7 Enterprise","CN=DO-CW2-24,OU=IS Cart,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-CW2-25","8/8/2017 8:08:45 AM","Windows 7 Enterprise","CN=DO-CW2-25,OU=IS Cart,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-CW2-26","8/8/2017 1:06:30 PM","Windows 7 Enterprise","CN=DO-CW2-26,OU=IS Cart,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-CW2-27Z","5/31/2017 8:24:24 AM","Windows 7 Enterprise","CN=DO-CW2-27Z,OU=IS Cart,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-CW2-28","8/15/2017 8:31:38 AM","Windows 7 Enterprise","CN=DO-CW2-28,OU=IS Cart,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-CW2-29","8/15/2017 8:40:41 AM","Windows 7 Enterprise","CN=DO-CW2-29,OU=IS Cart,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-CW2-31","8/7/2017 8:07:56 AM","Windows 10 Enterprise","CN=DO-CW2-31,OU=IS Cart,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-CW2-32","8/16/2017 8:28:10 AM","Windows 7 Enterprise","CN=DO-CW2-32,OU=IS Cart,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-ELLRC-810005","4/24/2017 8:00:38 AM","Windows 7 Enterprise","CN=DO-ELLRC-810005,OU=IS,OU=PCs,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-FAC-801938","1/13/2017 9:00:23 AM","Windows 7 Enterprise","CN=DO-FAC-801938,OU=Facilities,OU=PCs,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-FAC-802617","5/4/2017 2:37:40 PM","Windows 7 Enterprise","CN=DO-FAC-802617,OU=Facilities,OU=PCs,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-HR-801937","9/8/2016 7:57:07 PM","Windows 7 Enterprise","CN=DO-HR-801937,OU=HR&D,OU=PCs,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-IS-801361","4/21/2017 8:00:13 AM","Windows 7 Enterprise","CN=DO-IS-801361,OU=IS,OU=PCs,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-IS-805816","4/17/2017 7:42:08 AM","Windows 7 Enterprise","CN=DO-IS-805816,OU=IS,OU=PCs,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-IS-833158","8/16/2017 8:14:52 AM","Windows 10 Enterprise","CN=DO-IS-833158,OU=IS Cart,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-IT-816512","6/12/2017 1:34:05 PM","Windows 10 Enterprise","CN=DO-IT-816512,OU=IT,OU=PCs,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-LT-800466","10/12/2016 9:33:33 AM","Windows 10 Enterprise","CN=DO-LT-800466,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-LT-800929","1/30/2017 9:29:19 AM","Windows 7 Enterprise","CN=DO-LT-800929,OU=SPED,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-LT-801742","12/12/2016 8:20:08 AM","Windows 7 Enterprise","CN=DO-LT-801742,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-LT-813701","3/20/2017 8:42:12 AM","Windows 7 Enterprise","CN=DO-LT-813701,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-LT-813728","6/19/2017 9:43:25 AM","Windows 7 Enterprise","CN=DO-LT-813728,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-LT-813955","8/18/2017 11:35:10 AM","Windows 7 Enterprise","CN=DO-LT-813955,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-LT-818473","6/26/2017 8:14:22 AM","Windows 7 Enterprise","CN=DO-LT-818473,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-LT-827743","2/15/2017 11:26:15 AM","Windows 10 Enterprise","CN=DO-LT-827743,OU=SPED,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-PET-70903","9/22/2016 12:46:05 PM","Windows 7 Enterprise","CN=DO-PET-70903,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","DO-SPPRG-70958","6/19/2017 4:12:02 PM","Windows 7 Enterprise","CN=DO-SPPRG-70958,OU=IS,OU=PCs,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","MHHS-LT-818468","8/10/2017 6:34:54 AM","Windows 10 Enterprise","CN=MHHS-LT-818468,OU=Loaner Cart,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DO","SPED-801463-L","10/11/2016 8:10:28 AM","Windows 7 Enterprise","CN=SPED-801463-L,OU=SPED,OU=Laptops,OU=Systems,OU=DO,OU=SMUSD,DC=smusd,DC=local"
"DPS","DPS-LT-823719","8/18/2017 2:36:40 PM","Windows 10 Enterprise","CN=DPS-LT-823719,OU=Laptops,OU=Systems,OU=DPS,OU=SMUSD,DC=smusd,DC=local"
"FHS","FH-00-718997","2/21/2017 12:05:23 PM","Windows 7 Enterprise","CN=FH-00-718997,OU=VPN,OU=PCs,OU=Systems,OU=FHS,OU=SMUSD,DC=smusd,DC=local"
"FHS","FH-00-804724","4/19/2017 8:44:14 AM","Windows 7 Enterprise","CN=FH-00-804724,OU=VPN,OU=Laptops,OU=Systems,OU=FHS,OU=SMUSD,DC=smusd,DC=local"
"FHS","FH-00-804725","9/12/2016 11:15:57 AM","Windows 7 Enterprise","CN=FH-00-804725,OU=VPN,OU=Laptops,OU=Systems,OU=FHS,OU=SMUSD,DC=smusd,DC=local"
"FHS","FH-00-805804","9/16/2016 6:54:12 AM","Windows 7 Enterprise","CN=FH-00-805804,OU=VPN,OU=PCs,OU=Systems,OU=FHS,OU=SMUSD,DC=smusd,DC=local"
"FHS","FH-00-823575","4/21/2017 11:05:57 AM","Windows 7 Enterprise","CN=FH-00-823575,OU=VPN,OU=PCs,OU=Systems,OU=FHS,OU=SMUSD,DC=smusd,DC=local"
"FHS","FH-LT-823824","8/18/2017 9:44:17 AM","Windows 10 Enterprise","CN=FH-LT-823824,OU=Staff Laptops,OU=Laptops,OU=Systems,OU=FHS,OU=SMUSD,DC=smusd,DC=local"
"FHS","FH-LT-824626","8/18/2017 9:04:40 AM","Windows 10 Enterprise","CN=FH-LT-824626,OU=Staff Laptops,OU=Laptops,OU=Systems,OU=FHS,OU=SMUSD,DC=smusd,DC=local"
"JALE","JAES-202-801570","3/9/2017 12:02:47 AM","Windows 10 Enterprise","CN=JAES-202-801570,OU=Students,OU=PCs,OU=Systems,OU=JALE,OU=SMUSD,DC=smusd,DC=local"
"JALE","JAES-LT-800918","9/7/2016 8:18:15 AM","Windows 7 Enterprise","CN=JAES-LT-800918,OU=Staff Laptops,OU=Laptops,OU=Systems,OU=JALE,OU=SMUSD,DC=smusd,DC=local"
"JALE","JAES-LT-801740","9/27/2016 8:12:44 AM","Windows 7 Enterprise","CN=JAES-LT-801740,OU=Staff Laptops,OU=Laptops,OU=Systems,OU=JALE,OU=SMUSD,DC=smusd,DC=local"
"JALE","JAES-LT-804571","10/27/2016 2:47:37 PM","Windows 7 Enterprise","CN=JAES-LT-804571,OU=Staff Laptops,OU=Laptops,OU=Systems,OU=JALE,OU=SMUSD,DC=smusd,DC=local"
"JALE","JAES-LT-813712","6/16/2017 9:24:32 AM","Windows 10 Enterprise","CN=JAES-LT-813712,OU=Staff Laptops,OU=Laptops,OU=Systems,OU=JALE,OU=SMUSD,DC=smusd,DC=local"
"JALE","JAES-LT-816733","12/9/2016 8:20:05 AM","Windows 10 Enterprise","CN=JAES-LT-816733,OU=Staff Laptops,OU=Laptops,OU=Systems,OU=JALE,OU=SMUSD,DC=smusd,DC=local"
"JALE","JAES-LT-818487","5/15/2017 10:13:26 AM","Windows 10 Enterprise","CN=JAES-LT-818487,OU=Staff Laptops,OU=Laptops,OU=Systems,OU=JALE,OU=SMUSD,DC=smusd,DC=local"
"LCM","LCMES-42-818569","8/17/2017 9:37:21 AM","Windows 7 Enterprise","CN=LCMES-42-818569,OU=LCM Teachers,OU=Laptops,OU=Systems,OU=LCM,OU=SMUSD,DC=smusd,DC=local"
"LCM","LCMES-I-718410","8/17/2017 11:04:29 AM","Windows 7 Enterprise","CN=LCMES-I-718410,OU=Classroom,OU=PCs,OU=Systems,OU=LCM,OU=SMUSD,DC=smusd,DC=local"
"LCM","LCMES-LT-801768","8/18/2017 8:22:29 AM","Windows 10 Enterprise","CN=LCMES-LT-801768,OU=LCM Teachers,OU=Laptops,OU=Systems,OU=LCM,OU=SMUSD,DC=smusd,DC=local"
"M&O","MO-ADM-802287","10/31/2016 8:39:19 AM","Windows 7 Enterprise","CN=MO-ADM-802287,OU=PCs,OU=Systems,OU=Maint,OU=M&O,OU=SMUSD,DC=smusd,DC=local"
"M&O","MO-SHOP-818632","6/20/2017 11:20:00 AM","Windows 7 Enterprise","CN=MO-SHOP-818632,OU=PCs,OU=Systems,OU=Maint,OU=M&O,OU=SMUSD,DC=smusd,DC=local"
"M&O","MO-TRANS-813470","8/10/2017 5:02:46 AM","Windows 7 Enterprise","CN=MO-TRANS-813470,OU=Systems,OU=TRANS,OU=M&O,OU=SMUSD,DC=smusd,DC=local"
"MHHS","DO-VIRT-800907","3/28/2017 12:26:59 PM","Windows 7 Enterprise","CN=DO-VIRT-800907,OU=Staff Groups,OU=Security Groups,OU=MHHS,OU=SMUSD,DC=smusd,DC=local"
"MHHS","MHHS-475-805489","2/3/2017 1:32:50 PM","Windows 7 Enterprise","CN=MHHS-475-805489,OU=Classroom's,OU=PCs,OU=Systems,OU=MHHS,OU=SMUSD,DC=smusd,DC=local"
"MHHS","MHHS-505-818355","6/14/2017 1:12:16 PM","Windows 7 Enterprise","CN=MHHS-505-818355,OU=Pod's,OU=Classroom's,OU=PCs,OU=Systems,OU=MHHS,OU=SMUSD,DC=smusd,DC=local"
"MHHS","MHHS-630-828001","5/17/2017 2:11:53 PM","Windows 10 Enterprise","CN=MHHS-630-828001,OU=Classroom's,OU=PCs,OU=Systems,OU=MHHS,OU=SMUSD,DC=smusd,DC=local"
"MHHS","MHHS-630-828002","5/17/2017 10:46:33 AM","Windows 10 Enterprise","CN=MHHS-630-828002,OU=Classroom's,OU=PCs,OU=Systems,OU=MHHS,OU=SMUSD,DC=smusd,DC=local"
"MHHS","MHHS-630-828003","5/17/2017 10:48:47 AM","Windows 10 Enterprise","CN=MHHS-630-828003,OU=Classroom's,OU=PCs,OU=Systems,OU=MHHS,OU=SMUSD,DC=smusd,DC=local"
"MHHS","MHHS-630-828004","8/18/2017 2:15:40 PM","Windows 10 Enterprise","CN=MHHS-630-828004,OU=Classroom's,OU=PCs,OU=Systems,OU=MHHS,OU=SMUSD,DC=smusd,DC=local"
