"Site","Name","Last Logon","OperatingSystem","DistinguishedName"
"PAL","PAL-1-803794","8/15/2017 10:21:55 AM","Windows 7 Enterprise","CN=PAL-1-803794,OU=PalLab,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-18-803762","6/5/2017 8:56:12 AM","Windows 7 Enterprise","CN=PAL-18-803762,OU=PalLab,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-19-803788","6/5/2017 8:58:25 AM","Windows 7 Enterprise","CN=PAL-19-803788,OU=PalLab,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-20-803789","6/5/2017 8:57:43 AM","Windows 7 Enterprise","CN=PAL-20-803789,OU=PalLab,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-21-803769","6/5/2017 8:56:11 AM","Windows 7 Enterprise","CN=PAL-21-803769,OU=PalLab,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-22-803764","6/5/2017 8:57:31 AM","Windows 7 Enterprise","CN=PAL-22-803764,OU=PalLab,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-23-803751","6/5/2017 8:56:38 AM","Windows 7 Enterprise","CN=PAL-23-803751,OU=PalLab,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-24-803765","6/5/2017 8:57:40 AM","Windows 7 Enterprise","CN=PAL-24-803765,OU=PalLab,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-25-803744","6/5/2017 8:58:59 AM","Windows 7 Enterprise","CN=PAL-25-803744,OU=PalLab,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-26-803750","6/5/2017 8:56:55 AM","Windows 7 Enterprise","CN=PAL-26-803750,OU=PalLab,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-27-803770","6/7/2017 9:31:35 AM","Windows 7 Enterprise","CN=PAL-27-803770,OU=PalLab,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-2-803745","6/5/2017 8:56:32 AM","Windows 7 Enterprise","CN=PAL-2-803745,OU=PalLab,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-28-803768","6/5/2017 8:56:33 AM","Windows 7 Enterprise","CN=PAL-28-803768,OU=PalLab,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-29-803746","6/7/2017 11:03:03 AM","Windows 7 Enterprise","CN=PAL-29-803746,OU=PalLab,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-30-803782","6/7/2017 11:02:43 AM","Windows 7 Enterprise","CN=PAL-30-803782,OU=PalLab,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-31-803756","4/19/2017 1:09:19 PM","Windows 7 Enterprise","CN=PAL-31-803756,OU=PalLab,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-32-803799","4/19/2017 1:10:15 PM","Windows 7 Enterprise","CN=PAL-32-803799,OU=PalLab,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-33-803752","4/19/2017 1:11:16 PM","Windows 7 Enterprise","CN=PAL-33-803752,OU=PalLab,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL34-803749","4/20/2017 10:26:33 AM","Windows 7 Enterprise","CN=PAL34-803749,OU=PalLab,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-35-803740","4/20/2017 10:25:33 AM","Windows 7 Enterprise","CN=PAL-35-803740,OU=PalLab,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-36-803753","4/20/2017 10:25:04 AM","Windows 7 Enterprise","CN=PAL-36-803753,OU=PalLab,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-3-803766","6/5/2017 9:02:34 AM","Windows 7 Enterprise","CN=PAL-3-803766,OU=PalLab,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-39-803779L","12/16/2016 2:55:38 PM","Windows 7 Enterprise","CN=PAL-39-803779L,OU=Teachers_Staff,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-43-814743","6/14/2017 9:31:43 AM","Windows 10 Enterprise","CN=PAL-43-814743,OU=Unassigned,OU=PCs,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-4-803795","6/5/2017 8:58:36 AM","Windows 7 Enterprise","CN=PAL-4-803795,OU=PalLab,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-5-803790","6/5/2017 8:55:18 AM","Windows 7 Enterprise","CN=PAL-5-803790,OU=PalLab,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-6-803797","8/15/2017 10:27:57 AM","Windows 7 Enterprise","CN=PAL-6-803797,OU=PalLab,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-7-803761","6/5/2017 8:57:06 AM","Windows 7 Enterprise","CN=PAL-7-803761,OU=PalLab,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-8-803787","6/5/2017 8:56:19 AM","Windows 7 Enterprise","CN=PAL-8-803787,OU=PalLab,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-ADM-814731","6/12/2017 8:34:03 AM","Windows 7 Enterprise","CN=PAL-ADM-814731,OU=Windows7,OU=AdminPCs,OU=PCs,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-ADM-814740","6/22/2017 1:42:47 PM","Windows 7 Enterprise","CN=PAL-ADM-814740,OU=Windows7,OU=AdminPCs,OU=PCs,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-EMR-818481","3/20/2017 9:16:28 AM","Windows 7 Enterprise","CN=PAL-EMR-818481,OU=Teachers_Staff,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-G-803323","6/13/2017 8:50:50 AM","Windows 7 Enterprise","CN=PAL-G-803323,OU=Windows 10,OU=Teacher Comps,OU=PCs,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PALLAB25-803767","6/5/2017 8:58:10 AM","Windows 7 Enterprise","CN=PALLAB25-803767,OU=PalLab,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PALLAB26-803758","6/19/2017 3:13:36 PM","Windows 7 Enterprise","CN=PALLAB26-803758,OU=PalLab,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PALLABT-803778","8/15/2017 10:26:08 AM","Windows 7 Enterprise","CN=PALLABT-803778,OU=Teachers_Staff,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-LT-802904","5/26/2017 9:04:07 AM","Windows 7 Enterprise","CN=PAL-LT-802904,OU=Teachers_Staff,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-LT-803779","2/27/2017 3:58:51 PM","Windows 10 Enterprise","CN=PAL-LT-803779,OU=Teachers_Staff,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-LT-803784","3/23/2017 8:26:04 AM","Windows 7 Enterprise","CN=PAL-LT-803784,OU=Teachers_Staff,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-LT-806632","8/16/2017 1:54:15 PM","Windows 7 Enterprise","CN=PAL-LT-806632,OU=Teachers_Staff,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-LT-814722","1/20/2017 11:00:00 AM","Windows 10 Enterprise","CN=PAL-LT-814722,OU=Admin-NoRedirct,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-LT-818584","2/10/2017 10:53:34 AM","Windows 7 Enterprise","CN=PAL-LT-818584,OU=Teachers_Staff,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-PRIN-802607","6/7/2017 9:04:08 AM","Windows 7 Enterprise","CN=PAL-PRIN-802607,OU=Teachers_Staff,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-PSY-816539","6/12/2017 8:04:57 AM","Windows 7 Enterprise","CN=PAL-PSY-816539,OU=Teacher Comps,OU=PCs,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-TECH-814729","12/5/2016 7:36:55 AM","Windows 7 Enterprise","CN=PAL-TECH-814729,OU=Windows7,OU=AdminPCs,OU=PCs,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-XX-805993","7/28/2017 5:34:05 AM","Windows 10 Enterprise","CN=PAL-XX-805993,OU=Unassigned,OU=PCs,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-XXX-803774","2/13/2017 11:58:36 AM","Windows 10 Enterprise","CN=PAL-XXX-803774,OU=Unassigned,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"PAL","PAL-XXX-803793","2/13/2017 11:50:21 AM","Windows 10 Enterprise","CN=PAL-XXX-803793,OU=Unassigned,OU=Laptops,OU=Systems,OU=PAL,OU=SMUSD,DC=smusd,DC=local"
"SEES","SEE-LT-807008","8/18/2017 7:55:47 AM","Windows 7 Enterprise","CN=SEE-LT-807008,OU=Students,OU=Laptops,OU=Systems,OU=SEES,OU=SMUSD,DC=smusd,DC=local"
"SEES","SEE-LT-809619","8/17/2017 1:42:27 PM","Windows 10 Enterprise","CN=SEE-LT-809619,OU=Laptops,OU=Systems,OU=SEES,OU=SMUSD,DC=smusd,DC=local"
"SEES","SEE-LT-809993","8/17/2017 11:49:17 AM","Windows 7 Enterprise","CN=SEE-LT-809993,OU=Staff,OU=Laptops,OU=Systems,OU=SEES,OU=SMUSD,DC=smusd,DC=local"
"SEMS","SEMS-201-818278","6/11/2017 11:58:14 AM","Windows 10 Enterprise","CN=SEMS-201-818278,OU=Students,OU=PCs,OU=Systems,OU=SEMS,OU=SMUSD,DC=smusd,DC=local"
"SEMS","SEMS-202-801865","6/9/2017 2:55:15 PM","Windows 10 Enterprise","CN=SEMS-202-801865,OU=Students,OU=PCs,OU=Systems,OU=SEMS,OU=SMUSD,DC=smusd,DC=local"
"SEMS","SEMS-258-822959","5/17/2017 9:43:54 AM","Windows 10 Enterprise","CN=SEMS-258-822959,OU=PCs,OU=Systems,OU=SEMS,OU=SMUSD,DC=smusd,DC=local"
"SEMS","SEMS-354-801930","3/30/2017 9:59:51 AM","Windows 10 Enterprise","CN=SEMS-354-801930,OU=Students,OU=PCs,OU=Systems,OU=SEMS,OU=SMUSD,DC=smusd,DC=local"
"SEMS","SEMS-600-808416","3/23/2017 8:55:01 AM","Windows 7 Enterprise","CN=SEMS-600-808416,OU=PCs,OU=Systems,OU=SEMS,OU=SMUSD,DC=smusd,DC=local"
"SEMS","SEMS-601-814372","4/10/2017 6:48:57 AM","Windows 7 Enterprise","CN=SEMS-601-814372,OU=PCs,OU=Systems,OU=SEMS,OU=SMUSD,DC=smusd,DC=local"
"SEMS","SEMS-701-818287","8/11/2017 8:54:17 AM","Windows 10 Enterprise","CN=SEMS-701-818287,OU=Students,OU=PCs,OU=Systems,OU=SEMS,OU=SMUSD,DC=smusd,DC=local"
"SEMS","SEMS-752-701707","12/5/2016 9:14:34 AM","Windows 7 Enterprise","CN=SEMS-752-701707,OU=Students,OU=PCs,OU=Systems,OU=SEMS,OU=SMUSD,DC=smusd,DC=local"
"SEMS","SEMS-LT-800883","8/18/2017 10:15:40 AM","Windows 10 Enterprise","CN=SEMS-LT-800883,OU=Student Laptops,OU=Laptops,OU=Systems,OU=SEMS,OU=SMUSD,DC=smusd,DC=local"
"SEMS","SEMS-LT-800884","8/18/2017 10:11:06 AM","Windows 10 Enterprise","CN=SEMS-LT-800884,OU=Student Laptops,OU=Laptops,OU=Systems,OU=SEMS,OU=SMUSD,DC=smusd,DC=local"
"SEMS","SEMS-LT-800897","8/18/2017 10:12:24 AM","Windows 10 Enterprise","CN=SEMS-LT-800897,OU=Student Laptops,OU=Laptops,OU=Systems,OU=SEMS,OU=SMUSD,DC=smusd,DC=local"
"SEMS","SEMS-LT-800899","8/18/2017 10:12:31 AM","Windows 10 Enterprise","CN=SEMS-LT-800899,OU=Student Laptops,OU=Laptops,OU=Systems,OU=SEMS,OU=SMUSD,DC=smusd,DC=local"
"SEMS","SEMS-LT-800900","8/18/2017 10:16:41 AM","Windows 10 Enterprise","CN=SEMS-LT-800900,OU=Student Laptops,OU=Laptops,OU=Systems,OU=SEMS,OU=SMUSD,DC=smusd,DC=local"
"SEMS","SEMS-LT-823092","3/6/2017 3:01:43 PM","Windows 10 Enterprise","CN=SEMS-LT-823092,OU=Teacher Laptops,OU=Laptops,OU=Systems,OU=SEMS,OU=SMUSD,DC=smusd,DC=local"
"SEMS","SEMS-LT-823170","2/12/2017 10:58:45 AM","Windows 10 Enterprise","CN=SEMS-LT-823170,OU=Teacher Laptops,OU=Laptops,OU=Systems,OU=SEMS,OU=SMUSD,DC=smusd,DC=local"
"SMES","SME-132-814837","7/3/2017 1:06:59 PM","Windows 7 Enterprise","CN=SME-132-814837,OU=PCs,OU=Systems,OU=SMES,OU=SMUSD,DC=smusd,DC=local"
"SMHS","SMHS-446-810238","8/18/2017 12:46:21 PM","Windows 7 Enterprise","CN=SMHS-446-810238,OU=Science Teachers Computers,OU=Teacher,OU=PCs,OU=Systems,OU=SMHS,OU=SMUSD,DC=smusd,DC=local"
"SMMS","SMMS-31-814588","8/18/2017 12:12:20 PM","Windows 7 Enterprise","CN=SMMS-31-814588,OU=ClassRooms,OU=Students,OU=PCs,OU=Systems,OU=SMMS,OU=SMUSD,DC=smusd,DC=local"
"TECH","CES-LT-718826","7/26/2017 8:02:22 AM","Windows 10 Enterprise","CN=CES-LT-718826,OU=Christopher,OU=Systems,OU=TECH,OU=SMUSD,DC=smusd,DC=local"
"TECH","DAVEWIN7-1","5/30/2017 9:05:40 AM","Windows 7 Enterprise","CN=DAVEWIN7-1,OU=VMs,OU=Dave,OU=Systems,OU=TECH,OU=SMUSD,DC=smusd,DC=local"
"TECH","MHHS-TEST-TECH","6/6/2017 9:37:05 AM","Windows 10 Enterprise","CN=MHHS-TEST-TECH,OU=Virtual Testing,OU=Ryan,OU=Systems,OU=TECH,OU=SMUSD,DC=smusd,DC=local"
"TECH","MHHS-VM-WIN10","2/6/2017 10:22:15 AM","Windows 10 Enterprise","CN=MHHS-VM-WIN10,OU=MHHS,OU=Ryan,OU=Systems,OU=TECH,OU=SMUSD,DC=smusd,DC=local"
"TECH","MO-TECH-TEST470","6/12/2017 7:57:01 AM","Windows 10 Enterprise","CN=MO-TECH-TEST470,OU=Tony,OU=Systems,OU=TECH,OU=SMUSD,DC=smusd,DC=local"
"TECH","MO-WINTEST-NAT","5/2/2017 9:00:49 AM","Windows 10 Enterprise","CN=MO-WINTEST-NAT,OU=Tony,OU=Systems,OU=TECH,OU=SMUSD,DC=smusd,DC=local"
"TECH","RL-LT-805575","8/29/2016 6:04:17 PM","Windows 10 Enterprise","CN=RL-LT-805575,OU=Richard,OU=Systems,OU=TECH,OU=SMUSD,DC=smusd,DC=local"
"TECH","RL-MDT","7/10/2017 1:45:56 AM","Windows 10 Enterprise","CN=RL-MDT,OU=Richard,OU=Systems,OU=TECH,OU=SMUSD,DC=smusd,DC=local"
"TECH","RYAN-VM1","5/11/2017 12:06:34 PM","Windows 10 Enterprise","CN=RYAN-VM1,OU=Virtual Testing,OU=Ryan,OU=Systems,OU=TECH,OU=SMUSD,DC=smusd,DC=local"
"TECH","SAMEH-805576","4/5/2017 10:46:24 AM","Windows 8 Enterprise","CN=SAMEH-805576,OU=Sameh,OU=Systems,OU=TECH,OU=SMUSD,DC=smusd,DC=local"
"TECH","SME-00-NOTAG","9/9/2016 2:34:29 PM","Windows 7 Enterprise","CN=SME-00-NOTAG,OU=Juan,OU=Systems,OU=TECH,OU=SMUSD,DC=smusd,DC=local"
"TECH","SMMS-00-NOTAG","9/18/2016 2:07:57 PM","Windows 7 Enterprise","CN=SMMS-00-NOTAG,OU=Juan,OU=Systems,OU=TECH,OU=SMUSD,DC=smusd,DC=local"
"TECH","SMUSDIMAGE","1/11/2017 12:19:51 PM","Windows 10 Enterprise","CN=SMUSDIMAGE,OU=Systems,OU=TECH,OU=SMUSD,DC=smusd,DC=local"
"TECH","TECH-LT-813721","8/3/2017 12:21:06 PM","Windows 10 Enterprise","CN=TECH-LT-813721,OU=Dave,OU=Systems,OU=TECH,OU=SMUSD,DC=smusd,DC=local"
"TECH","TOHS-VM-01","2/7/2017 10:49:23 AM","Windows 10 Enterprise","CN=TOHS-VM-01,OU=Virtual Testing,OU=Ryan,OU=Systems,OU=TECH,OU=SMUSD,DC=smusd,DC=local"
"TOE","TOES-25-806782","8/17/2017 8:38:22 AM","Windows 7 Enterprise","CN=TOES-25-806782,OU=Teachers,OU=PCs,OU=Systems,OU=TOE,OU=SMUSD,DC=smusd,DC=local"
"TOHS","MININT-4O6QFRC","4/20/2017 2:43:41 PM","Windows 10 Enterprise","CN=MININT-4O6QFRC,OU=MDT,OU=Systems,OU=TOHS,OU=SMUSD,DC=smusd,DC=local"
"TOHS","MININT-604CR8N","4/20/2017 2:22:04 PM","Windows 10 Enterprise","CN=MININT-604CR8N,OU=Admin Staff,OU=Laptops,OU=Systems,OU=TOHS,OU=SMUSD,DC=smusd,DC=local"
"TOHS","TOHS-CRT-803980","9/21/2016 8:45:19 AM","Windows 7 Enterprise","CN=TOHS-CRT-803980,OU=Room 8 Cart,OU=Students,OU=Laptops,OU=Systems,OU=TOHS,OU=SMUSD,DC=smusd,DC=local"
"TOHS","TOHS-LT-803965","4/10/2017 9:12:31 AM","Windows 7 Enterprise","CN=TOHS-LT-803965,OU=Room 8 Cart,OU=Students,OU=Laptops,OU=Systems,OU=TOHS,OU=SMUSD,DC=smusd,DC=local"
"TOHS","TOHS-LT-803966","4/21/2017 8:37:15 AM","Windows 7 Enterprise","CN=TOHS-LT-803966,OU=Room 8 Cart,OU=Students,OU=Laptops,OU=Systems,OU=TOHS,OU=SMUSD,DC=smusd,DC=local"
"TOHS","TOHS-LT-803967","5/1/2017 10:27:04 AM","Windows 7 Enterprise","CN=TOHS-LT-803967,OU=Teachers - Staff,OU=Laptops,OU=Systems,OU=TOHS,OU=SMUSD,DC=smusd,DC=local"
"TOHS","TOHS-LT-803968","4/20/2017 8:44:39 AM","Windows 7 Enterprise","CN=TOHS-LT-803968,OU=Room 8 Cart,OU=Students,OU=Laptops,OU=Systems,OU=TOHS,OU=SMUSD,DC=smusd,DC=local"
"TOHS","TOHS-LT-803969","4/10/2017 9:12:39 AM","Windows 7 Enterprise","CN=TOHS-LT-803969,OU=Room 8 Cart,OU=Students,OU=Laptops,OU=Systems,OU=TOHS,OU=SMUSD,DC=smusd,DC=local"
"TOHS","TOHS-LT-803970","5/1/2017 8:34:29 AM","Windows 7 Enterprise","CN=TOHS-LT-803970,OU=Room 8 Cart,OU=Students,OU=Laptops,OU=Systems,OU=TOHS,OU=SMUSD,DC=smusd,DC=local"
"TOHS","TOHS-LT-803973","4/10/2017 7:44:02 AM","Windows 7 Enterprise","CN=TOHS-LT-803973,OU=Room 8 Cart,OU=Students,OU=Laptops,OU=Systems,OU=TOHS,OU=SMUSD,DC=smusd,DC=local"
"TOHS","TOHS-LT-803974","9/19/2016 7:19:19 AM","Windows 7 Enterprise","CN=TOHS-LT-803974,OU=Teachers - Staff,OU=Laptops,OU=Systems,OU=TOHS,OU=SMUSD,DC=smusd,DC=local"
"TOHS","TOHS-LT-803975","9/13/2016 3:18:06 PM","Windows 7 Enterprise","CN=TOHS-LT-803975,OU=Room 8 Cart,OU=Students,OU=Laptops,OU=Systems,OU=TOHS,OU=SMUSD,DC=smusd,DC=local"
"TOHS","TOHS-LT-803976","4/10/2017 7:46:17 AM","Windows 7 Enterprise","CN=TOHS-LT-803976,OU=Room 8 Cart,OU=Students,OU=Laptops,OU=Systems,OU=TOHS,OU=SMUSD,DC=smusd,DC=local"
"TOHS","TOHS-LT-803977","4/20/2017 11:15:26 AM","Windows 7 Enterprise","CN=TOHS-LT-803977,OU=Room 8 Cart,OU=Students,OU=Laptops,OU=Systems,OU=TOHS,OU=SMUSD,DC=smusd,DC=local"
"TOHS","TOHS-LT-803978","4/21/2017 8:41:47 AM","Windows 7 Enterprise","CN=TOHS-LT-803978,OU=Room 8 Cart,OU=Students,OU=Laptops,OU=Systems,OU=TOHS,OU=SMUSD,DC=smusd,DC=local"
"TOHS","TOHS-LT-803980","4/27/2017 8:25:05 AM","Windows 7 Enterprise","CN=TOHS-LT-803980,OU=Room 8 Cart,OU=Students,OU=Laptops,OU=Systems,OU=TOHS,OU=SMUSD,DC=smusd,DC=local"
"TOHS","TOHS-LT-803982","4/10/2017 7:46:47 AM","Windows 7 Enterprise","CN=TOHS-LT-803982,OU=Room 8 Cart,OU=Students,OU=Laptops,OU=Systems,OU=TOHS,OU=SMUSD,DC=smusd,DC=local"
"TOHS","TOHS-LT-803983","10/27/2016 12:02:56 PM","Windows 7 Enterprise","CN=TOHS-LT-803983,OU=Room 8 Cart,OU=Students,OU=Laptops,OU=Systems,OU=TOHS,OU=SMUSD,DC=smusd,DC=local"
"TOHS","TOHS-LT-803984","5/1/2017 10:23:25 AM","Windows 7 Enterprise","CN=TOHS-LT-803984,OU=Room 8 Cart,OU=Students,OU=Laptops,OU=Systems,OU=TOHS,OU=SMUSD,DC=smusd,DC=local"
"TOHS","TOHS-LT-803985","4/12/2017 8:43:07 AM","Windows 7 Enterprise","CN=TOHS-LT-803985,OU=Room 8 Cart,OU=Students,OU=Laptops,OU=Systems,OU=TOHS,OU=SMUSD,DC=smusd,DC=local"
"TOHS","TOHS-LT-803986","4/10/2017 9:12:08 AM","Windows 7 Enterprise","CN=TOHS-LT-803986,OU=Room 8 Cart,OU=Students,OU=Laptops,OU=Systems,OU=TOHS,OU=SMUSD,DC=smusd,DC=local"
"TOHS","TOHS-LT-803987","4/10/2017 7:43:41 AM","Windows 7 Enterprise","CN=TOHS-LT-803987,OU=Room 8 Cart,OU=Students,OU=Laptops,OU=Systems,OU=TOHS,OU=SMUSD,DC=smusd,DC=local"
"TOHS","TOHS-LT-803988","4/27/2017 2:27:20 PM","Windows 7 Enterprise","CN=TOHS-LT-803988,OU=Room 8 Cart,OU=Students,OU=Laptops,OU=Systems,OU=TOHS,OU=SMUSD,DC=smusd,DC=local"
"TOHS","TOHS-LT-803989","4/10/2017 7:43:42 AM","Windows 7 Enterprise","CN=TOHS-LT-803989,OU=Room 8 Cart,OU=Students,OU=Laptops,OU=Systems,OU=TOHS,OU=SMUSD,DC=smusd,DC=local"
"TOHS","TOHS-LT-814188","6/6/2017 1:19:34 PM","Windows 7 Enterprise","CN=TOHS-LT-814188,OU=Teachers - Staff,OU=Laptops,OU=Systems,OU=TOHS,OU=SMUSD,DC=smusd,DC=local"
"TOHS","TOHS-LT-815786","9/27/2016 7:00:01 AM","Windows 8.1 Enterprise","CN=TOHS-LT-815786,OU=Teachers - Staff,OU=Laptops,OU=Systems,OU=TOHS,OU=SMUSD,DC=smusd,DC=local"
"TOHS","TOHS-LT-EYZZZ","10/26/2016 11:45:53 AM","Windows 10 Pro","CN=TOHS-LT-EYZZZ,OU=Laptops,OU=Systems,OU=TOHS,OU=SMUSD,DC=smusd,DC=local"
"TOHS","TOHS-LT-NA","4/21/2017 8:38:22 AM","Windows 7 Enterprise","CN=TOHS-LT-NA,OU=Room 8 Cart,OU=Students,OU=Laptops,OU=Systems,OU=TOHS,OU=SMUSD,DC=smusd,DC=local"
"WPMS","WP-605-804921","8/17/2017 11:30:31 AM","Windows 7 Enterprise","CN=WP-605-804921,OU=PCs,OU=Systems,OU=WPMS,OU=SMUSD,DC=smusd,DC=local"
"Xserves","ad-xserve","3/12/2017 3:20:31 AM","Mac OS X","CN=ad-xserve,OU=Xserves,OU=Servers,DC=smusd,DC=local"
"Xserves","dis-xserve","2/25/2017 10:29:08 AM","Mac OS X","CN=dis-xserve,OU=Xserves,OU=Servers,DC=smusd,DC=local"
"Xserves","do-xserve","2/27/2017 4:42:45 PM","Mac OS X","CN=do-xserve,OU=Xserves,OU=Servers,DC=smusd,DC=local"
"Xserves","jaes-xserve","2/21/2017 5:10:08 PM","Mac OS X","CN=jaes-xserve,OU=Xserves,OU=Servers,DC=smusd,DC=local"
"Xserves","kh-xserve","10/4/2016 12:09:39 AM","Mac OS X","CN=kh-xserve,OU=Xserves,OU=Servers,DC=smusd,DC=local"
"Xserves","lcm-xserve","8/19/2017 12:45:57 PM","Mac OS X","CN=lcm-xserve,OU=Xserves,OU=Servers,DC=smusd,DC=local"
